Price,Adj Close,Close,High,Low,Open,Volume,company_name,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,190.30767822265625,191.24000549316406,191.55999755859375,189.22999572753906,190.3300018310547,45679300.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-04,188.50648498535156,189.42999267578125,190.0500030517578,187.4499969482422,189.97999572753906,43389500.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-05,192.47705078125,193.4199981689453,194.39999389648438,190.17999267578125,190.2100067138672,66628400.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-06,191.3824005126953,192.32000732421875,194.75999450683594,192.11000061035156,194.4499969482422,41089700.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-07,193.32290649414062,194.27000427246094,195.0,193.58999633789062,193.6300048828125,47477700.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-08,194.75588989257812,195.7100067138672,195.99000549316406,193.6699981689453,194.1999969482422,53377300.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-11,192.23822021484375,193.17999267578125,193.49000549316406,191.4199981689453,193.11000061035156,60943700.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-12,193.7607879638672,194.7100067138672,194.72000122070312,191.72000122070312,193.0800018310547,52696900.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-13,196.99493408203125,197.9600067138672,198.0,194.85000610351562,195.08999633789062,70404200.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-14,197.14419555664062,198.11000061035156,199.6199951171875,196.16000366210938,198.02000427246094,66831600.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-15,196.60682678222656,197.57000732421875,198.39999389648438,197.0,197.52999877929688,128256700.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-18,194.9350128173828,195.88999938964844,196.6300048828125,194.38999938964844,196.08999633789062,55751900.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-19,195.97988891601562,196.94000244140625,196.9499969482422,195.88999938964844,196.16000366210938,40714100.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-20,193.88018798828125,194.8300018310547,197.67999267578125,194.8300018310547,196.89999389648438,52242800.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-21,193.73089599609375,194.67999267578125,197.0800018310547,193.5,196.10000610351562,46482500.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-22,192.6561737060547,193.60000610351562,195.41000366210938,192.97000122070312,195.17999267578125,37122800.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-26,192.10887145996094,193.0500030517578,193.88999938964844,192.8300018310547,193.61000061035156,28919300.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-27,192.20835876464844,193.14999389648438,193.5,191.08999633789062,192.49000549316406,48087700.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-28,192.63629150390625,193.5800018310547,194.66000366210938,193.1699981689453,194.13999938964844,34049900.0,APPLE,,,,,,,,,,,,,,,,,,
2023-12-29,191.5913848876953,192.52999877929688,194.39999389648438,191.72999572753906,193.89999389648438,42628800.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-02,184.73497009277344,185.63999938964844,188.44000244140625,183.88999938964844,187.14999389648438,82488700.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-03,183.35174560546875,184.25,185.8800048828125,183.42999267578125,184.22000122070312,58414500.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-04,181.02316284179688,181.91000366210938,183.08999633789062,180.8800048828125,182.14999389648438,71983600.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-05,180.2967071533203,181.17999267578125,182.75999450683594,180.1699981689453,181.99000549316406,62303300.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-08,184.65536499023438,185.55999755859375,185.60000610351562,181.5,182.08999633789062,59144500.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-09,184.23741149902344,185.13999938964844,185.14999389648438,182.72999572753906,183.9199981689453,42841800.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-10,185.28228759765625,186.19000244140625,186.39999389648438,183.9199981689453,184.35000610351562,46792900.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-11,184.68521118164062,185.58999633789062,187.0500030517578,183.6199951171875,186.5399932861328,49128400.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-12,185.01361083984375,185.9199981689453,186.74000549316406,185.19000244140625,186.05999755859375,40444700.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-16,182.7347869873047,183.6300048828125,184.25999450683594,180.92999267578125,182.16000366210938,65603000.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-17,181.78939819335938,182.67999267578125,182.92999267578125,180.3000030517578,181.27000427246094,47317400.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-18,187.71041870117188,188.6300048828125,189.13999938964844,185.8300018310547,186.08999633789062,78005800.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-19,190.62612915039062,191.55999755859375,191.9499969482422,188.82000732421875,189.3300018310547,68741000.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-22,192.94476318359375,193.88999938964844,195.3300018310547,192.25999450683594,192.3000030517578,60133900.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-23,194.22845458984375,195.17999267578125,195.75,193.8300018310547,195.02000427246094,42355600.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-24,193.55178833007812,194.5,196.3800048828125,194.33999633789062,195.4199981689453,53631300.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-25,193.22337341308594,194.1699981689453,196.27000427246094,193.11000061035156,195.22000122070312,54822100.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-26,191.48190307617188,192.4199981689453,194.75999450683594,191.94000244140625,194.27000427246094,44594000.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-29,190.79530334472656,191.72999572753906,192.1999969482422,189.5800018310547,192.00999450683594,47145600.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-30,187.12326049804688,188.0399932861328,191.8000030517578,187.47000122070312,190.94000244140625,55859400.0,APPLE,,,,,,,,,,,,,,,,,,
2024-01-31,183.5010223388672,184.39999389648438,187.10000610351562,184.35000610351562,187.0399932861328,55467800.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-01,185.94903564453125,186.86000061035156,186.9499969482422,183.82000732421875,183.99000549316406,64885400.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-02,184.94395446777344,185.85000610351562,187.3300018310547,179.25,179.86000061035156,102518000.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-05,186.76502990722656,187.67999267578125,189.25,185.83999633789062,188.14999389648438,69668800.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-06,188.3771514892578,189.3000030517578,189.30999755859375,186.77000427246094,186.86000061035156,43490800.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-07,188.48660278320312,189.41000366210938,191.0500030517578,188.61000061035156,190.63999938964844,53439000.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-08,187.40191650390625,188.32000732421875,189.5399932861328,187.35000610351562,189.38999938964844,40962000.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-09,188.1691436767578,188.85000610351562,189.99000549316406,188.0,188.64999389648438,45155200.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-12,186.47525024414062,187.14999389648438,188.6699981689453,186.7899932861328,188.4199981689453,41781900.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-13,184.37286376953125,185.0399932861328,186.2100067138672,183.50999450683594,185.77000427246094,56529500.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-14,183.48606872558594,184.14999389648438,185.52999877929688,182.44000244140625,185.32000732421875,54630500.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-15,183.19712829589844,183.86000061035156,184.49000549316406,181.35000610351562,183.5500030517578,65434500.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-16,181.6527099609375,182.30999755859375,184.85000610351562,181.6699981689453,183.4199981689453,49701400.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-20,180.90541076660156,181.55999755859375,182.42999267578125,180.0,181.7899932861328,53665600.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-21,181.66268920898438,182.32000732421875,182.88999938964844,180.66000366210938,181.94000244140625,41529700.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-22,183.70526123046875,184.3699951171875,184.9600067138672,182.4600067138672,183.47999572753906,52292200.0,APPLE,,,,,,,,,,,,,,,,,,
2024-02-23,181.86195373535156,182.52000427246094,185.0399932861328,182.22999572753906,185.00999450683594,45119700.0,APPLE,,,,,,,,,,,,,,,,,,
